,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published
72,"YFN Lucci - Key To The Streets (Official Video) ft. Migos, Trouble.mp4",yfnlucciVEVO,"Get the single, ""Key to the Streets"".
iTunes: https://itunes.apple.com/us/album/key-to-streets-feat.-migos/id1087147149?uo=4&at=1001l3Iq&ct=888915198728&app=itunes
Spotify: https://open.spotify.com/album/6cQlz43QYCAlgjJGXRJbgv
Google Play: https://play.google.com/store/music/album?id=Bz3caalyktrvsmcfzdjd74wqb2q&tid=song-Tdhafceiv3ilvlnh6qym2lkjj3e&PAffiliateID=1101l3z7&PCamRefID=888915198728

Official music video by YFN Lucci performing Key To The Streets. 2016 Think It's A Game Records / Lucci

http://vevo.ly/4dpUrh",31103918,4.76265954971,192302,12130,00:05:02,302,"[YFN, Lucci, Young Fly Niggas, Key To The Streets, Key, Streets, Think, It's, Game, Records, Rap/Hip-Hop, Migos, Official, VEVO, Music Video, WorldStar, Exclusive, Rap, Rich Homie Quan, Trouble, EMPIRE]",2016-06-24 23:00:00
73,2 Chainz - MFN Right (Remix) ft. Lil Wayne.mp4,2ChainzVEVO,"2 Chainz “MFN Right” from the new album #ColleGrove available everywhere http://smarturl.it/ColleGrove

iTunes: http://smarturl.it/idColleGrove
Google: http://smarturl.it/gColleGrove
Amazon: http://smarturl.it/aColleGrove
Spotify: http://smarturl.it/sColleGrove

Follow 2 Chainz: 
http://2chainzshop.com
http://twitter.com/2chainz
http://instagram.com/hairweavekiller
http://facebook.com/2chainz
http://hairweavekiller.tumblr.com
http://youtube.com/2ChainzVEVO

Music video by 2 Chainz performing MFN Right. (C) 2016 Def Jam Recordings, a division of UMG Recordings, Inc.

http://vevo.ly/WwH7Ko",10954573,4.72517871857,84420,6228,00:03:48,228,"[Chainz, MFN, Right, Def, Jam, Recordings, Hip, Hop]",2016-06-24 16:00:06
74,"Kevin Gates - Jam feat. Trey Songz, Ty Dolla $ign, & Jamie Foxx [Official Music Video].mp4",kevingatesTV,"Kevin Gates Debut Album Islah Is Out Now!

Download Islah Now:
iTunes: http://smarturl.it/KGIslah
Amazon: http://smarturl.it/IslahAmazon
Google Play: http://smarturl.it/IslahGP

Stream Islah Now: 
Spotify: http://smarturl.it/StreamKGIslah
Apple Music: http://smarturl.it/IslahAM

Get Islah merch here: http://smarturl.it/IslahMerchYT

Follow Gates
Twitter: https://twitter.com/iamkevingates
Instagram: http://instagram.com/iamkevingates
Facebook: https://www.facebook.com/kvngates/
Website: http://www.kvngates.com/",20005210,4.78605175018,162769,9198,00:04:00,240,"[Kevin gates, Kevin, Gates, Hip Hop, Rap, Jam, Trey Songz, Ty Dolla $ign, Jamie Foxx]",2016-06-24 00:00:49
75,50 Cent - No Romeo No Juliet ft. Chris Brown (Official Music Video).mp4,50 Cent,"50 Cent releases the official music video for his new hit song, ""No Romeo No Juliet"" featuring Chris Brown.

Available for download:
iTunes: http://apple.co/2by5zA9
Spotify: http://smarturl.it/50NRNJ_Stream

Off of Kanan Reloaded

Track produced by Arthur McArthur

Listen to The Kanan Tape here: https://www.youtube.com/playlist?list=PLAaZGFiukWbYfcWqniPoLMGTYM3iCSw3i


Connect:
http://www.instagram.com/50cent
snap: iam50cent",36945289,4.82621240616,288285,13094,00:04:54,294,"[50 cent, chris brown, music video, no romeo, no romeo no juliet, no juliet, we pimpin]",2016-06-23 00:00:01
76,Maino - Mama Loves Me.mp4,MainoVEVO,"Music video for Mama Loves Me performed by Maino.

Produced & Directed by Nick M.
Shot & Edited by Strange Nature Productions

Copyright (C) 2016 Hustle Hard | Executive Nick

http://vevo.ly/jNe2Le",149437,4.84354019165,2432,99,00:03:39,219,"[vydia, music, music video, Mama Loves Me, Maino, Rap/Hip-Hop, KOB3, 2015, Hustle Hard | Executive Nick, Nick M. x Strange Nature Productions, Jermaine Coleman, vevo]",2016-06-20 20:30:01
77,"Rich Gang - Pull Up ft. Jacquees, J-Soul, Ralo Stylz, Derez Lenard, Birdman.mp4",RichGangVEVO,"Pull Up (Explicit Version) ft. Jacquees & J-Soul & Ralo Stylz & Derez Lenard & Birdman
Listen On Apple Music: http://republicrec.co/RichGangPullUpAM 
Listen On Spotify: http://republicrec.co/RichGangPullUpSP 

Download Here: http://republicrec.co/RichGangPullUp 

Directed & Produced by Chris Ferguson
For GT Films Productions

Music video by Rich Gang performing Pull Up.  © 2016  Cash Money Records Inc.

http://vevo.ly/9FRk36",5024385,4.74961566925,40269,2689,00:04:45,285,"[Rich, Gang, Pull, Up, Cash, Money, Rap]",2016-06-20 07:00:01
78,K Camp - 5 Minutes ft. 2 Chainz.mp4,KCampVEVO,"K Camp “5 Minutes” ft. 2 Chainz
iTunes: http://smarturl.it/5Minutes.KC 
Apple Music: http://smarturl.it/5Minutes.am 
Google Play: http://smarturl.it/5Minutes.gp 
Amazon: http://smarturl.it/5Minutes.amz 
Spotify: http://smarturl.it/5Minutes.sp 

K Camp Newsletter: http://smarturl.it/KCamp.News

Music video by K Camp performing 5 Minutes. (C) 2016 Interscope Records

http://vevo.ly/f37uky",1704724,4.63049793243,19130,1947,00:03:23,203,"[Camp, Minutes, Family, Ties, Interscope, Hip, Hop]",2016-06-17 16:00:03
79,Lil Wayne - Skate It Off (Produced By Twice As Nice).mp4,Lil Wayne,"Official music video for ""Skate It Off"" by Lil Wayne. Produced by Twice As Nice.

Click to subscribe to Lil Wayne's YouTube channel for exclusive footage! http://www.youtube.com/subscription_center?add_user=YMWayneCarter

Watch Lil Wayne's Exclusive Series and Footage:
Weezy Wednesdays: http://bit.ly/WeezyWeds
Lil Wayne Exclusive Tracks: http://bit.ly/WayneExclusives
Lil Wayne Official Music Videos: http://bit.ly/WayneVideos

Lil Wayne on Twitter: http://www.twitter.com/LilTunechi
Lil Wayne on Facebook: http://www.facebook.com/LilWayne
Young Money on Facebook: http://www.facebook.com/youngmoneyent",2636707,4.81271123886,29620,1455,00:04:37,277,"[meechie, weezy wednesday, lil wayne 2016, wayne carter, skateboard, hollyweezy, tha carter, weezy, hiphop, lil wayne, young money, skate it off, trukfit, ymcmb, twice as nice]",2016-06-16 21:00:01
80,Who Am I_.mp4,DeJ Loaf,"© Yellow World.

Download Dej Loaf’s Mixtape “All Jokes Aside” here: http://smarturl.it/AllJokesAside

Follow DeJ Loaf:
http://www.dejloafmusic.com/
https://www.facebook.com/DejLoafOfficial
https://twitter.com/dejloaf
https://instagram.com/dejloaf/
Snapchat username: dejloaf",572929,4.89418888092,8980,244,00:03:13,193,"[dejloaf, dej, loaf, Who Am I, All Jokes Aside, Yellow World]",2016-06-15 18:59:08
81,Rae Sremmurd - Look Alive.mp4,RaeSremmurdVEVO,"Rae Sremmurd “SremmLife 2” available now
iTunes: http://smarturl.it/SremmLife2
Apple Music:  http://smarturl.it/SremmLife2.AP
Google Play:  http://smarturl.it/SremmLife2.GP
Amazon: http://smarturl.it/SremmLife2.AMZ
Spotify:  http://smarturl.it/SremmLife2.SP
 Target (includes 2 bonus tracks): Sremmlife 2: http://smarturl.it/Sremmlife2.Tgt 
Rae Sremmurd newsletter: http://smarturl.it/RaeSremmurd.News 

Music video by Rae Sremmurd performing Look Alive. (C) 2016 Eardruma/Interscope Records

http://www.vevo.com/watch/USUV71600983",42750461,4.82417631149,328469,15102,00:03:46,226,"[Rae, Sremmurd, Look, Alive, Eardruma/Interscope, Records, Hip, Hop]",2016-06-13 16:30:01
